School,Major,Course_Code,Course_Name,Course_Description,Prereq
NUS,Data Science and Analytics,DSA1101,Introduction to Data Science,"The abundance of data being harvested from various sectors of today’s society increases the demand for skilled data science practitioners. This course introduces foundational data science concepts to prepare students for tackling real-world data analytic challenges. Major topics include basic concepts in probability and statistics, data manipulation, supervised and unsupervised learning, model validation and big data analysis, alongside special topics discussed in guest lectures delivered by practicing data scientists from government and industry. Throughout the course, students will learn fundamental R programming skills to implement and apply the data science methods in motivating realworld case studies from diverse fields.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Data Science and Analytics,CS2040,Data Structures and Algorithms,"This course introduces students to the design and implementation of fundamental data structures and algorithms. The course covers basic data structures (linked lists, stacks, queues, hash tables, binary heaps, trees, and graphs), searching and sorting algorithms, and basic analysis of algorithms.","{'or': ['CS1010:D', 'CS1010E:D', 'CS1010X:D', 'CS1101S:D', 'CS1010S:D', 'CS1010J:D']}"
NUS,Data Science and Analytics,DSA2101,Essential Data Analytics Tools: Data Visualisation,"Data visualisation is an essential tool for data analytics. This course is an introduction to data cleaning, exploration, analysis and visualisation. Students will learn how to take raw data, extract meaningful information, use statistical tools, and make visualisations. Topics include: programming in R, introduction to data storage systems, data manipulation, exploratory data analysis, dimension reduction, statistical graphics for univariate, multivariate (high-dimensional), temporal and spatial data, basic design principles and critical evaluation of visual displays of data.","{'and': [{'or': ['BT1101:D', 'DSA1101:D', 'DSE1101:D', 'GEA1000:D', 'GER1000%:D', 'IE1111R:D', 'ST1131:D']}, {'or': ['MA2401:D', {'and': [{'or': ['MA2001:D', 'MA1101R:D', 'MA1311:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D']}, {'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}]}]}]}"
NUS,Data Science and Analytics,DSA2102,Essential Data Analytics Tools: Numerical Computation,"This course aims at introducing basic concepts and wellestablished numerical methods that are very related to the computing foundation of data science and analytics. The emphasis is on the tight integration of numerical algorithms, implementation in industrial programming language, and examination on practical examples drawn from various disciplines related to data science. Major topics include: computer arithmetic, matrix multiplication, numerical methods for solving linear systems, least squares method, interpolation, concrete implementations in industrial program language, and sample applications related to data science.","{'and': [{'or': ['MA1101R:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D', 'MA2001:D']}, {'or': ['MA1102R:D', 'MA1312:D', 'MA1505:D', 'MA1511:D', 'MA1521:D', 'MA2002:D']}]}"
NUS,Data Science and Analytics,MA2001,Linear Algebra I,"This course is a first course in linear algebra. Fundamental concepts of linear algebra will be introduced and investigated in the context of the Euclidean spaces R^n. Proofs of results will be presented in the concrete setting. Students are expected to acquire computational facilities and geometric intuition with regard to vectors and matrices. Some applications will be presented. Major topics: Systems of linear equations, matrices, determinants, Euclidean spaces, linear combinations and linear span, subspaces, linear independence, bases and dimension, rank of a matrix, inner products, eigenvalues and eigenvectors, diagonalization, linear transformations between Euclidean spaces, applications.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Data Science and Analytics,MA2002,Calculus,"This is a course in single-variable calculus. We will introduce precise definitions of limit, continuity, derivative, and the Riemann integral. Students will be exposed to computational techniques and applications of differentiation and integration. This course concludes with an introduction to first order differential equations. Major topics Functions; limit and continuity; derivative; Intermediate Value Theorem; chain rule; implicit differentiation; higher derivatives; Mean Value Theorem; Riemann integral; Fundamental Theorem of Calculus; elementary transcendental functions and their inverses; techniques of integration; computation of area, volume and arc length using definite integrals; first order differential equations.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Data Science and Analytics,MA2311,Techniques in Advanced Calculus,"This module applies advanced calculus to practical mathematical problems, and is for students with advanced calculus background and with interest in the applications of calculus. Major topics Sequences, series, power series. Vector algebra in R2 and R3. Scalar- and vector-valued functions of several variables. Partial derivatives, total differentials. Mean value Theorem. Taylor's formula. Jacobian. Chain rule. Lagrange multiplier. Multiple integrals.","{'or': ['MA1102R:D', 'MA2002:D', 'MA1312:D', 'MA1421:D', 'MA1521:D']}"
NUS,Data Science and Analytics,MA2104,Multivariable Calculus,"This is a course on the calculus of functions of several real variables, applications of which abound in mathematics, the physical sciences and engineering. The aim is for students to acquire computational skills, ability for 2- and 3-D visualisation and to understand conceptually fundamental results such as Green’s Theorem, Stokes’ Theorem and the Divergence Theorem. Major topics: Euclidean distance and elementary topological concepts in Rn, limit and continuity, implicit functions. Partial differentiation, differentiable functions, differentials, chain rules, directional derivatives, gradients, mean value theorem, Taylor’s formula, extreme value theorem, Lagrange multipliers. Multiple integrals and iterated integrals, change of order of integration, applications, Jacobian matrix, change of variables in multiple integrals. Line integrals and Green’s theorem. Surface integrals, Stokes’ Theorem, Divergence Theorem.","{'or': ['MA1102R:D', 'MA2002:D', 'MA1505:D', 'MA1511:D', 'MA1521:D', 'PC2174A:D']}"
NUS,Data Science and Analytics,ST2131,Probability,"This course gives an elementary introduction to probability theory for students with knowledge of elementary calculus. It will cover not only the mathematics of probability theory but will work through diverse examples to illustrate the wide scope of applicability of probability, such as in engineering and computing, social and management sciences. Topics covered are: counting methods, sample space and events, axioms of probability, conditional probability, independence, random variables, discrete and continuous distributions, joint and marginal distributions, conditional distribution, independence of random variables, expectation, conditional expectation, moment generating function, central limit theorem, and weak law of large numbers.","{'or': ['MA1102R:D', 'MA1312:D', 'MA1507:D', 'MA1505:D', 'MA1505C:D', 'MA1511:D', 'MA1521:D', 'MA2002:D']}"
NUS,Data Science and Analytics,ST2132,Mathematical Statistics,"This course introduces students to the theoretical underpinnings of statistical methodology and concentrates on inferential procedures within the framework of parametric models. Topic include: random sample and statistics, method of moments, maximum likelihood estimate, Fisher information, sufficiency and completeness, consistency and unbiasedness, sampling distributions, x2-, t- and Fdistributions, confidence intervals, exact and asymptotic pivotal method, concepts of hypothesis testing, likelihood ratio test, Neyman-Pearson lemma. This course is targeted at students who are interested in Statistic and are able to meet the prerequisite.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
