,job_title,company_name,job_desc,job_type,cluster_assigned,dominant_topic,topic_keywords,topic_distribution
0,Data Analyst - Insurance,"SeaMoney · Singapore, Singapore Reposted  1 week ago  · 162 applicants","About the job
About The Team

The SeaMoney team enables and drives innovation by providing a range of financial products and services, including its mobile wallet, ShopeePay, to both individuals and SMEs. Its mission is to better the lives of individuals and businesses in the region with financial services through technology. SeaMoney is a part of Sea Limited, a leading global consumer internet company. In addition to SeaMoney, Sea’s other core businesses include leading e-commerce platform, Shopee and digital entertainment arm, Garena.

Job Description

Drive business intelligence needs for seller e-commerce insurance business market expansion across multiple markets through data-driven insights and decision making to inform our short and long term business strategy
Adopt and lead an evidence-based, data-driven approach towards end to end process and business analysis for the implementation of seller e-commerce insurance businesses across markets, including understanding and analysis of data sets from both Shopee and Seamoney domains
Support in ad hoc crucial data-related business measures and initiatives essential to proper business functioning, and develop a long term strategy towards scaling such initiatives for a more automated and holistic solution
Analyze financial impact to topline and bottomline from seller e-commerce insurance initiatives across multiple regional markets for ongoing business growth planning
Drive regular business performance reporting for key management and financial reporting, and for data-driven actionable business decisions and initiatives to ongoing business optimization across both commercial and operational aspects

Requirements

Bachelor’s degree and above in Computer Science/Engineering, Business Analytics, Information Technology, Statistics and other related fields
1~5 years relevant working experience in business analytics related roles
Proficient in data and analytics related technical skills, including MySQL, Presto SQL, Python, and Spark
Motivated by, and capable of, analyzing and driving solutions to complex problems around both e-commerce operations and insurance domains
Deeply curious about ways to improve the topline and bottomline of Shopee business through insurance, by taking a data-driven approach in decision making, working closely with regional and local business teams 
Excited about, and have appreciation for, working with and managing multiple stakeholders in a project, including effective working method with various regional and local teams across multiple Shopee markets",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.51437026), ('Algorithms and Numerical Methods', 0.21471813), ('Machine Learning', 0.23984736), ('Math and Statistics', 0.031064235)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.51437026), ('Algorithms and Numerical Methods', 0.21471813), ('Machine Learning', 0.23984736), ('Math and Statistics', 0.031064235)]"
1,Risk Data Analyst - SeaMoney Credit,"SeaMoney · Singapore, Singapore Reposted  1 week ago  · 254 applicants","About the job
About The Team

SeaMoney’s Risk Data Analyst Team is looking for data talents to design, build, and enhance data products in our financial services ecosystem. Data Products play key roles in facilitating and maximizing the effectiveness of data.

Job Description

Be the technical owner of SeaMoney Credit Risk data pipelines, and collaborate with risk-modeling, anti-fraud, collection, policy and other business stakeholders to deploy credit risk models, feature pipelines and ETLs
Monitor daily execution, diagnose and log issues, and fix business critical pipelines to ensure timelines are met with our internal stakeholders
Make data model and ETL code improvements to improve pipeline efficiency and data quality
Analyze new data sources and work with stakeholders to understand the impact of integrating new data into existing pipelines and models
Develop tools, features, and reports using our data tech stack to empower our internal stakeholders

Requirements

Degree in Computer Science, Information System, Business Analytics, Statistics is preferred
Technical accomplishments working with SQL, ETL scheduling technologies and experience working in python, SQL, Spark
Hands on experience of data modeling design, building complex and scalable ETLs and maintaining data quality
Experience with Linux/OSX command line, version control software (git), and general software development
Strong written and verbal communication skills and ability to build strong relationships and influence across the organization",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.38332972), ('Algorithms and Numerical Methods', 0.28143328), ('Machine Learning', 0.33325768), ('Math and Statistics', 0.0019793788)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.38332972), ('Algorithms and Numerical Methods', 0.28143328), ('Machine Learning', 0.33325768), ('Math and Statistics', 0.0019793788)]"
2,Data Analyst (1-year contract),"BW LPG · Singapore, Singapore Reposted  1 week ago  · 187 applicants","About the job
About Us

As the world’s leading owner and operator of LPG carriers with five decades of operating experience, BW LPG promotes competitive, sustainable solutions to secure value for society and our stakeholders.

Our global footprint spans seven countries with 17 nationalities represented across our workforce. Our fleet of 39 Very Large Gas Carriers (VLGC) offer a total carrying capacity of over 3 million CBM. From spot voyages and time charters to Contracts of Affreightments (CoAs), our emphasis on flexible, reliable service has earned the trust of leading oil companies as well as trading and utility companies. More information about BW LPG can be found at www.bwlpg.com.

BW LPG is associated with BW Group, a leading global maritime company involved in shipping, floating infrastructure, deepwater oil & gas production, and new sustainable technologies. Founded in 1955 by Sir YK Pao, BW controls a fleet of over 490 vessels transporting oil, gas and dry commodities, with its 200 LNG and LPG ships constituting the largest gas fleet in the world. In the renewables space, the group has investments in solar, wind, batteries, biofuels and water treatment.

At BW LPG, we are ambitious in our vision for how we will utilize our data to become a better, more profitable company. We are creating a data and reporting platform that will enable us to become a more data-driven company, supporting our managers and employees with on-hand facts to make better decisions and exploit the opportunities that will arise from AI and efficiency enhancing tools. We are looking for a positive, collaborative, and business-minded Data Analyst to support these ambitions and add velocity to the development. You will report to the Head of IT for the duration of the hire.

Job Description
Exploring complex datasets from various sources and systems to support seamless integration of data sources into company’s datawarehouse, and data cleaning automation process for dashboard development needs.
Develop data model and design actionable dashboard to provide insight and fulfill business user needs.

Qualifications
Essential
Experience in analyzing complex datasets to identify patterns, trends, and apply valuable insight into data visualization tools. Advanced level in Python is highly preferred.
Working knowledge of data mining principles: mapping, and collecting data from multiple data systems on premises and cloud-based data sources.
Willingness to learn new methods and tools, adaptable to business needs dynamic.
Ability to articulate solution approaches with business users and to produce high quality solutions within agreed timeline.
Excellent written and verbal communication skills in English.

Desirable
Proven success in implementing data analytics, complex data research, and implementing business process improvements.
Works collaboratively, experiments constantly with new innovative approaches, adaptable and dynamic approach to changing business needs, and optimizes the quality of existing data and processes.
Ability to maintain comprehensive documentation of data analysis processes, methodologies, and findings.
Understanding of cloud platforms including Azure platform services, hybrid cloud technologies, developer tools and services and/or complementing solutions. Experience in using data analytic tools and modeling (Python, SQL), ETL tools (Azure Data Factory, DBT), data visualizations (Power BI), data entry (PowerApps), and database management (MSSQL) will be an advantage.
Awareness of ethical data handling and information security principles.

Other Information
This position will be based in Singapore.
Only shortlisted candidates will be notified.",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.43208143), ('Algorithms and Numerical Methods', 0.31083664), ('Machine Learning', 0.23306575), ('Math and Statistics', 0.024016116)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.43208143), ('Algorithms and Numerical Methods', 0.31083664), ('Machine Learning', 0.23306575), ('Math and Statistics', 0.024016116)]"
3,Data Analyst - SeaMoney Credit,"SeaMoney · Singapore, Singapore Reposted  1 week ago  · 501 applicants","About the job
Job Description

Work closely with stakeholders to understand their needs/ pain points to scope up their problems and enhance internal processes through automation and improve productivity
Critically evaluate and define business metrics; develop analysis that lead to actionable insights to support the continuous improvement of the Retail Finance business
Be a subject matter expert in retail finance business and data. Consolidate data from multiple sources including operations, marketing and source databases to create integrated views that can be used to drive decision making
Build and implement data visualisation of reports and dashboards for management and business users

Requirements

Bachelor’s degree and above in Computer Science/Engineering, Business Analytics, Information Technology, Finance/ Banking, Statistics and other related fields
Up to 4 years of working experience in analytics related roles
Skilled in SQL and Python is Mandatory
Familiar with data visualisation tools
Work well with cross-functional teams in a fast-paced environment
Experience in finance/ banking industry is a preferred
Experience in business intelligence in e-commerce is a plus",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.4456851), ('Algorithms and Numerical Methods', 0.3193542), ('Machine Learning', 0.1699393), ('Math and Statistics', 0.0650214)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.4456851), ('Algorithms and Numerical Methods', 0.3193542), ('Machine Learning', 0.1699393), ('Math and Statistics', 0.0650214)]"
4,"Data Analyst Intern, Regional BI & Planning (Fall 2023)","Shopee · Singapore, Singapore Reposted  1 week ago  · 479 applicants","About the job
Job Description

Conduct data collection and analysis using SQL and Python
Automate data collection and aggregation processes to build reporting dashboards
Collaborate with data engineers, product managers, and operation teams to provide statistics or business data that can help to drive business insights

Requirements

Currently pursuing a Bachelor's degree or higher, preferably major in Analytics, Mathematics, Statistics, Engineering, Computer Science or related field
Ability to manage a large amount of data meticulously
Familiar with at least one programming/scripting language, preferably Python or Spark
Experience in data analysis and data collection required
Please state your availability clearly in the comments section (Start date, End date, part-time or full-time)",Data Analyst,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.1378376), ('Algorithms and Numerical Methods', 0.54140556), ('Machine Learning', 0.15601708), ('Math and Statistics', 0.16473973)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.1378376), ('Algorithms and Numerical Methods', 0.54140556), ('Machine Learning', 0.15601708), ('Math and Statistics', 0.16473973)]"
5,"Product Data Scientist, TikTok Data Analysis",TikTok · Singapore Reposted  4 days ago  · 419 applicants,"About the job
Responsibilities

 TikTok will be prioritising applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.

About TikTok
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

About the Team
The Product Data Analytics Team analyses a combination of product usage and product performance data to derive meaningful insights that would serve as a guide to better product and decision making for our business leaders. The team will work through different business scenarios including improving Live app Experiences, Host Operation, User experiences. In addition, it is important to manage the data life cycle to ensure problems are quantitatively measured to propose logical solutions.

Responsibilities:
- Responsible for the data analytics work in international LIVE business, including but not limited to live gifts, host interaction, strategies, enhancing the live streaming revenue.
- Identify and analyse key factors driving the growth of international LIVE, and propose enhancement plans with logical data support
- Responsible for the design and analysis of A/B experiments, product iteration impact evaluation, marketing campaign analysis, key metrics trend analysis, etc
- Work with cross functional partners like Product Managers, Operations, R&D for product optimisation plans and boost business growth 
- Perform market activity analysis and any other analytics that would help guide product and business in decision making. 

Qualifications

 1. Bachelor degree or above in Computer Science, Statistics, Mathematics or other related majors;
2. Proficient in SQL, Python, or R;
3. Excellent communication skills with ability to communicate conclusions effectively to both technical and non-technical audiences;
4. Strong user affinity with solid understanding of product usage and performance;
5. Experienced in A/B testing is preferred;
6. Experience in supporting analytical work of internet or large scale B2C products is preferred;

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",Data Scientist,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.5454463), ('Algorithms and Numerical Methods', 0.15784967), ('Machine Learning', 0.2749317), ('Math and Statistics', 0.021772338)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.5454463), ('Algorithms and Numerical Methods', 0.15784967), ('Machine Learning', 0.2749317), ('Math and Statistics', 0.021772338)]"
6,Data Analyst - BytePlus Recommend,ByteDance · Singapore  2 weeks ago  · 72 applicants,"About the job
Responsibilities

Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.

Why Join Us

Creation is the core of ByteDance's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible.

Together, we inspire creativity and enrich life - a mission we aim towards achieving every day.

To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At ByteDance, we create together and grow together. That's how we drive impact - for ourselves, our company, and the users we serve.

Join us.

About The Team

BytePlus is a business unit in ByteDance and provides intelligent platform services powered by industry-leading research in emerging technologies. From data analytics tools to computer vision software, BytePlus solutions enable businesses to reach their potential. To help businesses access BytePlus technologies, the Platform team delivers a reliable and easy-to-use platform that businesses can use to discover, learn more about, purchase, and use BytePlus solutions. Our platform makes it radically safe and effortless for technology professionals to consume solutions like BytePlus Recommendation, BytePlus Effects, and BytePlus Data Intelligence to grow their businesses.

As a Data Analyst for BytePlus Recommend, you will work closely with Algorithm Engineer, Product Management, and Engineering teams to deliver actionable insights and data-driven decisions for our business. Your role will be pivotal in shaping our recommendation product by identifying risks and optimizing performance.

Responsibilities

 Conduct tailored data analyses to understand the specific needs and KPIs of our B2B clients.
 Propose innovative solutions by exploratory data analysis from complex and high-dimensional datasets, applying statistical and modeling techniques to improve recommendation accuracy and effectiveness, as well as client ROI
 Design, execute, and evaluate A/B tests focused on assessing the effectiveness of strategies or refinements in our recommendation algorithms. Troubleshoot any irregularities in key metrics and provide data-backed optimization strategies.
 Develop and maintain specialized dashboards that monitor key performance indicators specific to recommendation services. Translate complex data into actionable insights and communicate these clearly to both technical and non-technical stakeholders.
 Work in alignment with cross-disciplinary teams, such as engineering and product, to ensure that data strategies support broader business goals, including client acquisition and retention.
 Establish standardized protocols for all manually generated project outputs. Streamline document formats, key stages, and external reporting to enhance efficiency and consistency across teams.


Qualifications

 Bachelor's degree or higher in a related field such as Statistics, Mathematics, or Business Analytics.
 At least 3 year of experience in data analytics or a similar field.
 Proficiency in data analysis tools such as SQL and Python.
 Familiarity with data visualization tools like Tableau or Power BI.
 Demonstrated ability to juggle multiple projects in a fast-paced setting with strong attention to detail and accuracy.
 Strong analytical thinking, centered around problem-solving and data-driven decision-making.
 Exceptional communication skills, being able to articulate finding in a systematic way with an emphasis on simplifying complex data for stakeholders across businesses and levels.


Preferred Qualifications

 Experience with machine learning technologies is a plus.


ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.4214224), ('Algorithms and Numerical Methods', 0.20231493), ('Machine Learning', 0.33513317), ('Math and Statistics', 0.041129466)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.4214224), ('Algorithms and Numerical Methods', 0.20231493), ('Machine Learning', 0.33513317), ('Math and Statistics', 0.041129466)]"
7,Product Data Scientist - TikTok Data Analysis,TikTok · Singapore Reposted  4 days ago  · 685 applicants,"About the job
Responsibilities

 About TikTok
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

The Product Data Analytics Team analyses a combination of product usage and product performance data to derive meaningful insights that would serve as a guide to better product and decision making for our business leaders. The team will work through different business scenarios including improving Live app Experiences, Host Operation, User experiences. In addition, it is important to manage the data life cycle to ensure problems are quantitatively measured to propose logical solutions.

Responsibilities:
- Responsible for the data analytics work in international LIVE business, including but not limited to live gifts, host interaction, strategies, enhancing the live-streaming revenue;
- Analyse the key factors for the current growth of international LIVE, find improvements points through data and provide data basis and judgment for the next iteration of the business;
- Develop a deep understanding of the business logic and user request scenarios of international LIVE, design a reasonable indicator system based on business objectives, evaluate and monitor business performance quickly and effectively, and give valuable decision-making suggestions through in-depth analysis and mining of indicators;
- Be deeply engaged in the construction of international LIVE business, analyse and sort out business logic, disassemble the analysis planning and construction system based on goals, output indicator system and diagnosis mechanism
- Evaluate and monitor business performance in an effective and quick manner;
- Cooperate with the business teams (product/operation/RD) to initiate special data projects or phased data recaps, local internal optimisation points through data induction and analysis, promote the implementation of improvement plans, and obtain actual benefits. 

Qualifications

 1. Bachelor degree or above in Computer Science, Statistics, Mathematics or other related majors;
2. At least 3 years of experiences and above; Experience in supporting analytical work of internet or large scale C2C products is preferred;
3. Proficient in SQL, skilled use of visualisation tools
4. Experience in data extraction, analysis and visualisation in a complex data environment, and have experiences in data landing to the business
5. Excellent communication skills with ability to communicate conclusions effectively to both technical and non-technical audiences, and good analysis report writing ability;
6. Strong learning ability and curiosity driven mindset, independent and possess collaborative problem solving skills

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",Data Scientist,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.5329074), ('Algorithms and Numerical Methods', 0.19574687), ('Machine Learning', 0.22980364), ('Math and Statistics', 0.041542087)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.5329074), ('Algorithms and Numerical Methods', 0.19574687), ('Machine Learning', 0.22980364), ('Math and Statistics', 0.041542087)]"
8,"Data and Insights Analyst, SMB","TikTok · Singapore, Singapore  1 month ago  · 311 applicants","About the job
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

TikTok's SMB team aims to help businesses and brands of all sizes unleash their creative side, connect with our audience, or perhaps be discovered! From designing scaled sales and service delivery programs to ensuring our customers have best-in-class tools and products at their fingertips, our SMB team combines operational expertise with a customer-centric mindset to help businesses achieve their marketing goals on TikTok, no matter how big or small.

About the Team
The Go-to-Market (GTM) Insights team enables sales teams with opportunities to scale the business globally. The team is segmented across different parts of the sales funnel and provides in-depth insights to understand the health of the business. The team works across sales, programs, and cross-functional teams, to bring efficiency for the entire sales organisation.

We're looking for a Data Analyst to support our SMB Global Analytics team. As an SMB Data Analyst, you will drive quantitative analysis projects from start to finish regarding the SMB service channel, developing insights that help us understand the effectiveness of our sales & service teams and that identify opportunities to help SMBs grow to become successful advertisers. You will assist in the development of SMB business metrics, data structures and analytical frameworks and partner cross-functionally to use data to identify trends and solve problems.

Key Responsibilities:

1. Apply expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our advertisers interact with our core products.
2. Partner with Sales, Marketing, Product and Engineering teams to solve problems and identify trends.
3. Build/maintain reports, dashboards, and metrics to monitor the performance of our sales & service teams and the SMB advertisers they support.
4. Mine massive amounts of data and extract useful product insights.

Qualifications
1. Demonstrable and diverse work experience doing quantitative analysis;
2. Expert experience pulling large and complex data using SQL;
3. Experience with a data visualization tool (e.g. Tableau);
4. Experience with Python programming, nice to have;
5. Excellent verbal and written English communication skills with experience communicating the results of analyses.
6. Experience coaching, developing, and mentoring team members would be a key bonus for this role

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.5494661), ('Algorithms and Numerical Methods', 0.19168216), ('Machine Learning', 0.25359082), ('Math and Statistics', 0.0052610184)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.5494661), ('Algorithms and Numerical Methods', 0.19168216), ('Machine Learning', 0.25359082), ('Math and Statistics', 0.0052610184)]"
9,Oil Derivatives Trading - Quantitative Researcher Intern (6 months),Gunvor Group Ltd · Singapore  2 weeks ago  · 83 applicants,"About the job
Summary Of Company

Gunvor Group is one of the world’s largest independent commodities trading houses by turnover, creating logistics solutions that safely and efficiently move physical energy from where it is sourced and stored to where it is demanded most. With strategic investments in industrial infrastructure—refineries, pipelines, storage, and terminals—Gunvor further generates sustainable value across the global supply chain for its customers. Gunvor, founded in 2000, generated US $135 billion in revenues on volumes of 240 million MT in 2021. The company remains on track to meet its goal of cutting Scope 1 and 2 emissions 40% by 2025.

Gunvor has more than 1,500 employees and it maintains offices in Singapore, Amsterdam, Beijing, Dubai, Geneva, Houston, London, Shanghai, and Tallinn with new offices planned in strategically relevant markets.

Overview Of Role

The person will join the Cross Barrel Desk, Singapore and will learn and gain insights about trading operations and processes. This is an exciting opportunity for students with keen interest in the commodity trading industry and will allow him/her to gain more insight into how a trading business is built and maintained. The candidate will focus on supporting desk Quantitative Developer by developing new tools to help aid trading decision making.

Main Responsibilities

Joining as an Oil Derivatives Quantitative Researcher Intern, the candidate will

Develop quantitative tools to automate quantitative analysis study
Work with traders to design and develop trading strategies whilst controlling the overfitting risk using various statistical techniques
Develop and enhance the existing analytical tools and databases
Enhance the desk portfolio construction algorithm by adding new features or instruments
Improve execution algo within the desk automated execution platform
Analyze trade execution algorithms to minimize market impact
Proactively implement market best practice development cycle (Dev/Test/Prod)


Profile

The individual should have the following experience:

A degree in a technical discipline with a focus on computer science and computer engineering
Proficiency in Python is a must
Strong programming skills (SQL and MongoDB, C++/ C# and Java)
Strong knowledge in statistics and modeling background (including Classification Algorithms such as Random Forrest, Machine Learning, etc.)
Experience with high performance database for time-series data is preferred
Knowledge of financial markets and financial derivatives would be a plus but is not required
Excellent verbal and written communication skills in English
Inquisitive and meticulous with strong analytical and computational skills
Self-motivated and able to work independently and as a team player
Applicants must be able to commit to 5 days per week for a 6 months internship period
Ability to work under pressure",Quantitative Researcher,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.5001694), ('Algorithms and Numerical Methods', 0.22974685), ('Machine Learning', 0.1953387), ('Math and Statistics', 0.07474507)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.5001694), ('Algorithms and Numerical Methods', 0.22974685), ('Machine Learning', 0.1953387), ('Math and Statistics', 0.07474507)]"
