School,Major,Link
NUS,Data Science and Analytics,https://www.stat.nus.edu.sg/wp-content/uploads/sites/8/2023/06/16062023_Data-Science-and-Analytics-Major-AY2021-22-and-after_130623.pdf
NUS,Business Analytics,https://www.comp.nus.edu.sg/programmes/ug/ba/curr/#summary-of-degree-requirements-for-bsc-business-analytics
NUS,Quantitative Finance,https://www.math.nus.edu.sg/wp-content/uploads/sites/4/2021/02/QF_2122.pdf
NUS,Statistics,https://www.stat.nus.edu.sg/wp-content/uploads/sites/8/2023/06/Statistics-Major-AY2021-22-and-after_updated-130623-1.pdf
NUS,Data Science and Economics,https://www.stat.nus.edu.sg/wp-content/uploads/sites/8/2023/06/16062023_Data-Science-and-Economics-XDP-AY2021-22-and-after_130623.pdf
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/artificial-intelligence/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/digital-literacy/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/design-thinking/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/data-literacy/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/writing/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/asian-studies/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/humanities/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/scientific-inquiry-i/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/scientific-inquiry-ii/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/social-sciences/
NUS,CHS,https://chs.nus.edu.sg/programmes/common-curriculum/interdisciplinary-courses-i-ii/
NTU,Data Science and Artificial Intelligence,DSAI
NTU,Economics and Data Science,ECDS
SMU,Quantitative Finance,https://business.smu.edu.sg/disciplines/quantitative-finance/curriculum
SMU,Data Science and Analytics,https://economics.smu.edu.sg/bachelor-science-economics/curriculum/2nd-major-data-science-and-analytics
SMU,Information Systems (Business Analytics),https://scis.smu.edu.sg/bsc-information-systems/curriculum
