course_code,course_name,course_description
ACCT414,Accounting Analytics Capstone,"Traditionally, the accounting function s role is always viewed as that of a steward, the control centre for the organisation, rather than the catalyst for enterprise growth. The term  back office  is often used to describe the operating nature of accounting function. So in today s volatile global business environment, the key challenge for accounting function is how to lead the enterprise in its growth strategies while ensuring effective risk management and stewardship of the enterprise.

With complexity and data proliferation, increasingly the CEO and the board turn to accountants to help make sense of all the data, to help cut through this complexity, and to provide more informed analysis on the business and its operation. The opportunity for accounting function is if it can generate the insights that help make better corporate decision making, while continuing to ensure effective control of the enterprise, its reputation as a catalyst for growth will be guaranteed. To do so, traditional accounting departments may have to transform themselves into  intelligent accounting functions .

Intelligent accounting functions run their operations as cost effectively as possible, leveraging technology to reduce finance operating costs; strengthen stewardship and control so as to establish a solid foundation to support growth. The biggest challenges, however, lie in creating the efficiencies needed to gather and process basic financial data and continue to deliver traditional finance outputs while at the same time redeploying their limited resources to enable higher-value business decision support activities.

This accounting analytics practicum which adopts SMU-X approach, focuses on a few key topics that are vital to establishing an intelligent accounting function (refer to the diagram below): finance strategy and transformation, lean finance and finance shared services, business intelligence analytics, and enterprise process management. In this experiential learning course, students from various disciplines learn what comprises a highly optimised accounting process, design an end-to-end process management and explore the underlying accounting IT systems and advanced data analytical applications. By working closely with instructors from accounting and information systems disciplines, together with an industry partner, students are expected to carry out design and development of an intelligent accounting function solution. The whole idea is to engage students in real-life application and to encourage students to creatively apply concepts to practical problems in their pursuit of solving real-world problems. Students will apply the concepts in real projects."
ACCT001,Accounting Study Mission (Asian Studies),"The Accounting Study Mission is aimed at exposing students to the accounting and auditing standards, banking, tax, and monetary policies, and corporate governance structures in countries visited. In addition, the trip will also provide students with an understanding of investment and business opportunities in the country, as well as the social, cultural, economic, and political environments under which companies operate. It will give students a better appreciation of the country s macro-economic environment, its key industries, financial and capital markets, investment climate, and economic policies and systems. During the trip, students will visit companies and interact with executives and entrepreneurs. They will also be exposed to the country s history, culture, traditions, and values as these play an important role in determining business and financial strategies and operations of companies.

Prior to the trip, students will be required to undergo intensive pre-trip preparations involving talks by experts, individual and team research of assigned topics, and project presentations and discussions. On completion of the trip, students will submit group projects based on their research and findings from the trip."
ACCT009,Overseas Project Experience (Accounting in Asia),"The purpose of this course is to provide participants with an appreciation of business and investment opportunities in an Asian country, and an understanding of its social, cultural, economic, and political landscape.

At the same time, this is an SMU-XO module, which offers an overseas experiential learning opportunity for students. The course allows students to translate classroom knowledge and theory into practical solutions for real organizations. In addition to visits to companies and organizations, student will also participate in a consultancy project. Through the project, students will learn how to solve business problems with guidance from the faculty and project sponsor mentors, from problem definition to final client presentation   while simultaneously testing their skills in real world settings.

The project will focus on evaluating problems faced by the accounting/finance and other functions of one company in an Asian country and recommending/applying solutions to these problems. The course qualifies for one credit unit and encompasses seminars, guest lectures and presentations. Grading is on a Pass/Fail basis for SMU Students."
ACCT101,Financial Accounting,"This course provides the student with a basic understanding of accounting as ""the language of business"". It introduces students to the basic concepts, principles, procedures and approaches underlying the accounting process. This basic understanding facilitates the interpretation of financial information, which is necessary for making business decisions."
ACCT102,Management Accounting,"This course introduces cost and management accounting topics to enable students to understand how accounting information is used to manage an organisation. It focuses on the factors that differentiate one company from another. The course will look at various functional areas within the firm, ranging from manufacturing to marketing, and from accounting to human relations. In addition, the concept of management, how senior managers plan, implement and control those plans through people will be briefly discussed. The course will enhance students' personal skills in preparation for more advanced courses at the university in the following ways: working in groups, analysing cases, writing reports, and making presentations."
ACCT105,Financial Accounting for Law,"This course is an introduction to the reporting system used by businesses to convey financial information to parties outside the firm.  The focus of this course will be on training you to be a knowledgeable consumer of accounting information, rather than a producer of such information. Primary emphasis, therefore, will be placed on understanding the financial reports that are the end product of this system - what they tell us and what they do not tell us about a business.  For this purpose, this course makes it mandatory for all of you to actively participate in a group project where you can have hands-on experience to deal with financial reports from the real world. While we will introduce you to the fundamental concepts of financial accounting information, we feel that a firm grasp of the fundamental mechanics is also necessary to become an effective consumer of financial accounting information. Accordingly, the accounting principles, conventions and concepts underlying financial reporting will be examined with the objective of developing your ability to interpret and analyze the real world financial statements."
ACCT111,Financial Accounting,"This course provides the student with a basic understanding of accounting as ""the language of business"". It introduces students to the basic concepts, principles, procedures and approaches underlying the accounting process. This basic understanding facilitates the interpretation of financial information, which is necessary for making business decisions."
ACCT112,Management Accounting,"This course introduces cost and management accounting topics to enable students to understand how accounting information is used to manage an organisation. It focuses on the factors that differentiate one company from another. The course will look at various functional areas within the firm, ranging from manufacturing to marketing, and from accounting to human relations. In addition, the concept of management, how senior managers plan, implement and control those plans through people will be briefly discussed. The course will enhance students' personal skills in preparation for more advanced courses at the university in the following ways: working in groups, analysing cases, writing reports, and making presentations."
ACCT201,Corporate Reporting and Financial Analysis,"This course examines corporate reporting issues and accounting standards as well as the analysis and interpretation of financial statements and reports prepared under those standards. The objective is to attain technical and analytical proficiency in preparing and using financial reports of companies, whether as accountants, auditors, managers, financial analysts or investors. Topics covered include: financial reporting framework and environment, accounting standards and disclosure requirements, quarterly reporting, accounting changes, classification of income, introduction to consolidated statements and accounting for investments in associates and joint ventures, financial statement analysis, credit risk analysis and bankruptcy prediction, equity valuation, leases and other off-balance sheet financing, capitalisation of borrowing costs, revenue recognition, intangible assets, impairment of assets, segment reporting, events after balance sheet date, provisions and contingencies."
ACCT221,Accounting Information Systems,"The role of this course is to provide a specialised in-depth accounting course that addresses these key notions: role of information systems within accounting; documentation of accounting information systems including data flow diagrams and flowcharts; database management, processes and modeling; exposures and risks associated with accounting information systems; evaluation of information technology internal controls and impact on internal control; impact of information technology on the audit process; relationship of accounting information systems to major processes of the business cycle; and development, design and analysis of accounting information systems."
ACCT223,Taxation,"On completion of this course, students should be able to explain the operation of the Singapore tax system; prepare computations of the corporate tax liability for individual companies; prepare computations of the income tax liability for employees, sole traders and partners; explain and apply the scope and principles of Goods and Services Tax (GST); explain the use of exemptions and reliefs in deferring or minimising tax liabilities; and learn the basic understanding and skills required for the Tax Planning course."
